Baseball 2013 Season
1. MIL 0.20535179894327688
2. BER 0.13106359581117227
3. HDX 0.12015008167725608
4. OGL 0.11449605704360392
5. RHD 0.11348983278844535
6. BRS 0.11216129821240613
7. CEN 0.11106624868276771
8. SEW 0.09222108684107166


Baseball 2014 Season
1. HDX 0.2066757361184139
2. RHD 0.15230003254717922
3. BER 0.135537333909027
4. MIL 0.13043773898053412
5. BRS 0.11987177140324902
6. OGL 0.10585868184553338
7. CEN 0.0820725283952594
8. SEW 0.06724617680080398


Baseball 2015 Season
1. MIL 0.1695422843245984
2. RHD 0.16330237687753552
3. OGL 0.13604424519057365
4. SEW 0.12375509441226056
5. BRS 0.12360799093977855
6. BER 0.11946563567770602
7. CEN 0.08407906021892293
8. HDX 0.08020331235862437


Baseball 2016 Season
1. HDX 0.181141720190458
2. RHD 0.14243075392882792
3. MIL 0.12803818250430155
4. CEN 0.12017975235201303
5. BER 0.11614465296596348
6. OGL 0.11134806213029588
7. BRS 0.10489677098437122
8. SEW 0.09582010494376896


Baseball 2017 Season
1. MIL 0.14203347669592548
2. BRS 0.14054365368027572
3. OGL 0.135826508381281
4. HDX 0.1339278273086553
5. BER 0.13371120254521462
6. RHD 0.11669305628174878
7. SEW 0.10659059822282106
8. CEN 0.09067367688407806


Baseball 2018 Season
1. BER 0.15527874693784627
2. OGL 0.15363318688860472
3. BRS 0.15080516236898284
4. MIL 0.12587749133193685
5. RHD 0.1253514595783511
6. HDX 0.11396379211391769
7. CEN 0.09434149460187102
8. SEW 0.0807486661784895


Baseball 2019 Season
1. BER 0.14781555356792153
2. BRS 0.1475217720145286
3. CEN 0.14035767093968393
4. RHD 0.13862646111377627
5. OGL 0.11436060435009171
6. HDX 0.11291043417392597
7. SEW 0.10815791289280467
8. MIL 0.0902495909472674


Baseball Ranks Averaged Across All Seasons
1. MIL 0.14164722338969152
2. RHD 0.13602771044512343
3. HDX 0.13556755770589304
4. BER 0.1341452459164073
5. BRS 0.12848691708622745
6. OGL 0.12450962083285488
7. CEN 0.10325291886779943
8. SEW 0.09636280575600291
